Title,Authors,Publication Year,Journal,PMID,PMCID,DOI,Link,Associated Data,Associated Data Repository(-ies)
ER Stress Inhibits Liver Fatty Acid Oxidation while Unmitigated Stress Leads to Anorexia-Induced Lipolysis and Both Liver and Kidney Steatosis,"Diane DeZwaan-McCabe, Ryan D. Sheldon, Michelle C. Gorecki, Deng-Fu Guo, Erica R. Gansemer, Randal J. Kaufman, Kamal Rahmouni, Matthew P. Gillum, Eric B. Taylor, Lynn M. Teesch & D. Thomas Rutkowski",2017,Cell Reports,28564599,PMC5520660,10.1016/j.celrep.2017.05.020,http://www.cell.com/cell-reports/fulltext/S2211-1247(17)30645-9?_returnURL=http%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS2211124717306459%3Fshowall%3Dtrue,MTBLS472,MetaboLights
AMPK Protects Leukemia-Initiating Cells in Myeloid Leukemias from Metabolic Stress in the Bone Marrow,"Yusuke Saito, Richard H. Chapple, Angelique Lin, Ayumi Kitano & Daisuke Nakada",2015,Cell Stem Cell,26440282,PMC4597792,10.1016/j.stem.2015.08.019,http://www.sciencedirect.com/science/article/pii/S1934590915003744,ST000308,Metabolomics Workbench
Bioactivity-guided genome mining reveals the lomaiviticin biosynthetic gene cluster in Salinispora tropica.,"Roland D. Kersten, Amy L. Lane, Markus Nett, Taylor K. S. Richter, Brendan M. Duggan, Pieter C. Dorrestein & Bradley S. Moore",2013,Chembiochem,23649992,PMC3755882,10.1002/cbic.201300147,http://onlinelibrary.wiley.com/doi/10.1002/cbic.201300147/abstract,MSV000078665,GNPS
Bioactivity-guided genome mining reveals the lomaiviticin biosynthetic gene cluster in Salinispora tropica.,"Roland D. Kersten, Amy L. Lane, Markus Nett, Taylor K. S. Richter, Brendan M. Duggan, Pieter C. Dorrestein & Bradley S. Moore",2013,Chembiochem,23649992,PMC3755882,10.1002/cbic.201300147,http://onlinelibrary.wiley.com/doi/10.1002/cbic.201300147/abstract,MSV000078664,GNPS
Discrimination of lymph node metastases using desorption electrospray ionisation-mass spectrometry imaging,"N. Abbassi-Ghadi, K. Veselkov, S. Kumar, J. Huang, E. Jones, N. Strittmatter, H. Kudo, R. Goldin, Z. Tak‡ts & G. B. Hanna",2014,Chemical Communications,24407514,NA,10.1039/c3cc48927b,http://pubs.rsc.org/en/content/articlelanding/2014/cc/c3cc48927b#!divAbstract,MTBLS385,MetaboLights
Deep learning and 3D-DESI imaging reveal the hidden metabolic heterogeneity of cancer        ,"Paolo Inglese, James S. McKenzie, Anna Mroz, James Kinross, Kirill Veselkov, Elaine Holmes, Zoltan Takats, Jeremy K. Nicholson & Robert C. Glen",2017,Chemical Science,28507724,PMC5418631,10.1039/c6sc03738k,http://pubs.rsc.org/en/content/articlelanding/2017/sc/c6sc03738k#!divAbstract,MTBLS415,MetaboLights
Manipulation of regulatory genes reveals complexity and fidelity in hormaomycin biosynthesis.,"Xiaofeng Cai, Roberta Teta, Christoph Kohlhaas, Max CrŸsemann, Reiko Ueoka, Alfonso Mangoni, Michael F. Freeman & J_rn Piel",2013,Chemistry & Biology,23790494,NA,10.1016/j.chembiol.2013.04.018,http://www.sciencedirect.com/science/article/pii/S1074552113001798?via%3Dihub,MSV000078668,GNPS
Molecular networking and pattern-based genome mining improves discovery of biosynthetic gene clusters and their products from Salinispora species.,"Katherine R. Duncan, Max CrŸsemann, Anna Lechner, Anindita Sarkar, Jie Li, Nadine Ziemert, Mingxun Wang, Nuno Bandeira, Bradley S. Moore, Pieter C. Dorrestein & Paul R. Jensen",2015,Chemistry & Biology,25865308,PMC4409930,10.1016/j.chembiol.2015.03.010,http://www.sciencedirect.com/science/article/pii/S1074552115001039?via%3Dihub,MSV000079484,GNPS
Molecular networking and pattern-based genome mining improves discovery of biosynthetic gene clusters and their products from Salinispora species.,"Katherine R. Duncan, Max CrŸsemann, Anna Lechner, Anindita Sarkar, Jie Li, Nadine Ziemert, Mingxun Wang, Nuno Bandeira, Bradley S. Moore, Pieter C. Dorrestein & Paul R. Jensen",2015,Chemistry & Biology,25865308,PMC4409930,10.1016/j.chembiol.2015.03.010,http://www.sciencedirect.com/science/article/pii/S1074552115001039?via%3Dihub,MSV000079284,GNPS
The responses of Arabidopsis thaliana to cadmium exposure explored via metabolite profiling,"Xiumei Sun, Jixiu Zhang, Haijun Zhang, Yuwen Ni, Qing Zhang, Jiping Chen & Yafeng Guan",2009,Chemosphere,20044121,NA,10.1016/j.chemosphere.2009.11.045,http://www.sciencedirect.com/science/article/pii/S0045653509014027,MEX98,MetaPhen
Citrate modulates lipopolysaccharide-induced monocyte inflammatory responses,"M. J. Ashbrook, K. L. McDonough, J. J. Pituch, P. L. Christopherson, T. T. Cornell, D. T. Selewski, T. P. Shanley & N. B. Blatt",2015,Clinical & Experimental Immunology,25619261,PMC4449780,10.1111/cei.12591,http://onlinelibrary.wiley.com/doi/10.1111/cei.12591/full,ST000172,Metabolomics Workbench
Citrate modulates lipopolysaccharide-induced monocyte inflammatory responses,"M. J. Ashbrook, K. L. McDonough, J. J. Pituch, P. L. Christopherson, T. T. Cornell, D. T. Selewski, T. P. Shanley & N. B. Blatt",2015,Clinical & Experimental Immunology,25619261,PMC4449780,10.1111/cei.12591,http://onlinelibrary.wiley.com/doi/10.1111/cei.12591/full,ST000202,Metabolomics Workbench
Serum Metabolomic Profiles Identify ER-Positive Early Breast Cancer Patients at Increased Risk of Disease Recurrence in a Multicenter Population,"Christopher D. Hart, Alessia Vignoli, Leonardo Tenori, Gemma Leonora Uy, Ta Van To, Clement Adebamowo, Syed Mozammel Hossain, Laura Biganzoli, Emanuela Risi, Richard R. Love, Claudio Luchinat & Angelo Di Leo",2017,Clinical Cancer Research,28082280,NA,10.1158/1078-0432.ccr-16-1153,http://clincancerres.aacrjournals.org/content/early/2017/01/11/1078-0432.CCR-16-1153,MTBLS424,MetaboLights
SPE-IMS-MS: An Automated Platform for Sub-Sixty Second Surveillance of Endogenous Metabolites and Xenobiotics in Biofluids,"Xing Zhang, Michelle Romm, Xueyun Zheng, Erika M. Zink, Young-Mo Kim, Kristin E. Burnum-Johnson, Daniel J. Orton, Alex Apffel, Yehia M. Ibrahim, Matthew E. Monroe, Ronald J. Moore Jordan N. Smith, Jian Ma, Ryan S. Renslow, Dennis G. Thomas, Anne E. Blackwell, Glenn Swinford, John Sausen, Ruwan T. Kurulugama, Nathan Eno, Ed Darland, George Stafford, John Fjeldsted, Thomas O. Metz, Justin G.Teeguarden, Richard D. Smith & Erin S. Baker",2013,Clinical Mass Spectrometry,NA,NA,10.1016/j.clinms.2016.11.002,http://www.sciencedirect.com/science/article/pii/S2376999816300150,MTBLS427,MetaboLights
An integrative genomics approach for deciphering the complex interactions between ascorbate metabolism and fruit growth and composition in tomato,"Virginie Garcia, Rebecca Stevens, Laurent Gil, Louise Gilbert, No_ Gest, Johann Petit, Mireille Faurobert, Mickael Maucourt, Catherine Deborde, Annick Moing, Jean-Luc Poessel, Daniel Jacob, Jean-Paul Bouchet, Jean-Luc Giraudel, Barbara Gouble, David Page, Moftah Alhagdow, Capucine Massot, H_lène Gautier, Martine Lemaire-Chamley, Antoine de Daruvar, Dominique Rolin, Bjoern Usadel, Marc Lahaye, Mathilde Causse, Pierre Baldet & Christophe Rothan",2009,Comptes Rendus Biologies,19909923,NA,10.1016/j.crvi.2009.09.013,http://www.sciencedirect.com/science/article/pii/S1631069109002236?via%3Dihub,T07001,MeRy-B
Metabolomics dataset of PPAR-pan treated rat liver.,"Zsuzsanna Ament, James A. West, Elizabeth Stanley, Xuefei Li, Tom Ashmore, Lee D. Roberts, Jayne Wright, Andrew W. Nicholls & Julian L.Griffin",2016,Data in Brief,27331087,PMC4898904,10.1016/j.dib.2016.05.002,http://www.sciencedirect.com/science/article/pii/S2352340916302906?via%3Dihub,MTBLS278,MetaboLights
Metabolomics dataset of PPAR-pan treated rat liver.,"Zsuzsanna Ament, James A. West, Elizabeth Stanley, Xuefei Li, Tom Ashmore, Lee D. Roberts, Jayne Wright, Andrew W. Nicholls & Julian L.Griffin",2016,Data in Brief,27331087,PMC4898904,10.1016/j.dib.2016.05.002,http://www.sciencedirect.com/science/article/pii/S2352340916302906?via%3Dihub,MTBLS303,MetaboLights
Metabolic activity decreases as an adaptive response to low internal oxygen in growing potato tubers.,"P. Geigenberger, A.R. Fernie, Y. Gibon, M. Christ & M. Stitt",2000,De Gruyter,11030430,NA,10.1515/BC.2000.093,https://www.degruyter.com/view/j/bchm.2000.381.issue-8/bc.2000.093/bc.2000.093.xml,MEX19,MetaPhen
Lipid metabolites as potential diagnostic and prognostic biomarkers for acute community acquired pneumonia.,"Kelvin K.W. To, Kim-Chung Lee, Samson S.Y. Wong, Kong-Hung Sze, Yi-Hong Ke, Yin-Ming Lui, Bone S.F. Tang, Iris W.S. Li, Susanna K.P. Lau, Ivan F.N. Hung, Chun-Yiu Law, Ching-Wan Lam & Kwok-Yung Yuen",2016,Diagnostic Microbiology & Infectious Disease,27105773,NA,10.1016/j.diagmicrobio.2016.03.012,http://www.dmidjournal.com/article/S0732-8893(16)30052-9/fulltext,MTBLS354,MetaboLights
Effects of long-term cadmium exposure on growth and metabolomic profile of tomato plants,"H_dia H_diji, Wahbi Djebali, C_cile Cabasson, Michael Maucourt, Pierre Baldet, Anne Bertrand, Latifa Boulila Zoghlami, Catherine Deborde, Annick Moing, Renaud Brouquisse, Wided Cha•bi & Philippe Gallusci",2010,Ecotoxicology and Environmental Safety,20846723,NA,10.1016/j.ecoenv.2010.08.014,http://www.sciencedirect.com/science/article/pii/S0147651310002113?via%3Dihub,T06004,MeRy-B
Release of ecologically relevant metabolites by the cyanobacterium Synechococcus elongatus 1631,"Cara L. Fiore, Krista Longnecker, Melissa C. Kido Soule & Elizabeth B. Kujawinski",2015,Environmental Microbiology,25970745,NA,10.1111/1462-2920.12899,http://onlinelibrary.wiley.com/wol1/doi/10.1111/1462-2920.12899/full,MTBLS155,MetaboLights
"Correspondence of coral holobiont metabolome with symbiotic bacteria, archaea and Symbiodinium communities","Emilia M. Sogin, Hollie M. Putnam, Craig E. Nelson, Paul Anderson & Ruth D. Gates",2017,Environmental Microbiology Reports,28464532,NA,10.1111/1758-2229.12541,http://onlinelibrary.wiley.com/wol1/doi/10.1111/1758-2229.12541/full,MTBLS342,MetaboLights
Strategies to Characterize Polar Organic Contamination in Wastewater: Exploring the Capability of High Resolution Mass Spectrometry,"Emma L. Schymanski, Heinz P. Singer, Philipp Longr_e, Martin Loos, Matthias Ruff, Michael A. Stravs, Cristina Ripoll_s Vidal & Juliane Hollender",2014,Environmental Science & Technology,24417318,NA,10.1021/es4044374,http://pubs.acs.org/doi/abs/10.1021/es4044374,MSV000079601,GNPS
NMR- and LC-MS/MS-based urine metabolomic investigation of the subacute effects of hexabromocyclododecane in mice,"Dezhen Wang, Ping Zhang, Xinru Wang, Yao Wang, Zhiqiang Zhou & Wentao Zhu",2016,Environmental Science and Pollution Research,26786581,NA,10.1007/s11356-015-5940-2,https://link.springer.com/article/10.1007/s11356-015-5940-2,MTBLS166,MetaboLights
LC-MSs-Based dereplication of Euphorbia extracts with anti-Chikungunya virus activity.,"Louis-F_lix Nothias-Scaglia, Vincent Dumontet, Johan Neyts, Fanny Roussi, Jean Costa, Pieter Leyssen, Marc Litaudon & Julien Paolini",2015,Fitoterapia,26151856,NA,10.1016/j.fitote.2015.06.021,http://www.sciencedirect.com/science/article/pii/S0367326X15300368?via%3Dihub,MSV000079385,GNPS
LC-MSs-Based dereplication of Euphorbia extracts with anti-Chikungunya virus activity.,"Louis-F_lix Nothias-Scaglia, Vincent Dumontet, Johan Neyts, Fanny Roussi, Jean Costa, Pieter Leyssen, Marc Litaudon & Julien Paolini",2015,Fitoterapia,26151856,NA,10.1016/j.fitote.2015.06.021,http://www.sciencedirect.com/science/article/pii/S0367326X15300368?via%3Dihub,MSV000079384,GNPS
LC-MSs-Based dereplication of Euphorbia extracts with anti-Chikungunya virus activity.,"Louis-F_lix Nothias-Scaglia, Vincent Dumontet, Johan Neyts, Fanny Roussi, Jean Costa, Pieter Leyssen, Marc Litaudon & Julien Paolini",2015,Fitoterapia,26151856,NA,10.1016/j.fitote.2015.06.021,http://www.sciencedirect.com/science/article/pii/S0367326X15300368?via%3Dihub,MSV000078945,GNPS
Proanthocyanidin profile and antioxidant capacity of Brazilian Vitis vinifera red wines,"Eliana Fortes Gris, Fulvio Mattivi, Eduardo Antonio Ferreira, Urska Vrhovsek, Rozangela Curi Pedrosa & Marilde T. Bordignon-Luiza",2011,Food Chemistry,NA,NA,10.1016/j.foodchem.2010.10.102,http://www.sciencedirect.com/science/article/pii/S0308814610013671,MTBLS209,MetaboLights
Characterization of white tea metabolome: Comparison against green and black tea by a nontargeted metabolomics approach.,"Weidong Dai, Dongchao Xie, Meiling Lu, Pengliang Li, Haipeng Lv, Chen Yang, Qunhua Peng, Yin Zhu, Li Guo, Yue Zhang, Junfeng Tan & Zhi Lina",2017,Food Research International,28528106,NA,10.1016/j.foodres.2017.03.028,http://www.sciencedirect.com/science/article/pii/S0963996917301023?via%3Dihub,MTBLS403,MetaboLights
PPAR-pan activation induces hepatic oxidative stress and lipidomic remodelling.,"Zsuzsanna Ament, James A. West, Elizabeth Stanley, Xuefei Li, Tom Ashmore, Lee D. Roberts, Jayne Wright, Andrew W. Nicholls & Julian L.Griffin",2016,Free Radical Biology and Medicine,26654758,PMC4891066,10.1016/j.freeradbiomed.2015.11.033,http://www.sciencedirect.com/science/article/pii/S0891584915011429?via%3Dihub,MTBLS278,MetaboLights
PPAR-pan activation induces hepatic oxidative stress and lipidomic remodelling.,"Zsuzsanna Ament, James A. West, Elizabeth Stanley, Xuefei Li, Tom Ashmore, Lee D. Roberts, Jayne Wright, Andrew W. Nicholls & Julian L.Griffin",2016,Free Radical Biology and Medicine,26654758,PMC4891066,10.1016/j.freeradbiomed.2015.11.033,http://www.sciencedirect.com/science/article/pii/S0891584915011429?via%3Dihub,MTBLS303,MetaboLights
MetaDB a data processing workflow in untargeted MS-based metabolomics experiments,"Pietro Franceschi, Roman Mylonas, Nir Shahaf, Matthias Scholz, Panagiotis Arapitsas, Domenico Masuero, Georg Weingart, Silvia Carlin, Urska Vrhovsek, Fulvio Mattivi & Ron Wehrens",2014,Frontiers in Bioengineering and Biotechnology,25566535,PMC4267269 ,10.3389/fbioe.2014.00072,https://www.frontiersin.org/articles/10.3389/fbioe.2014.00072/full,MTBLS137,MetaboLights
Joint analysis of dependent features within compound spectra can improve detection of differential features,"Diana Trutschel, Stephan Schmidt, Ivo Grosse & Steffen Neumann",2015,Frontiers in Bioengineering and Biotechnology,26442246,PMC4585098,10.3389/fbioe.2015.00129,https://www.frontiersin.org/articles/10.3389/fbioe.2015.00129/full,MTBLS169,MetaboLights
PhenoMeter: A Metabolome Database Search Tool Using Statistical Similarity Matching of Metabolic Phenotypes for High-Confidence Detection of Functional Links,"Adam J. Carroll, Peng Zhang, Lynne Whitehead, Sarah Kaines, Guillaume Tcherkez & Murray R. Badger",2015,Frontiers in Bioengineering and Biotechnology,26284240,PMC4518198,10.3389/fbioe.2015.00106,https://www.frontiersin.org/articles/10.3389/fbioe.2015.00106/full,MEX36,MetaPhen
PhenoMeter: A Metabolome Database Search Tool Using Statistical Similarity Matching of Metabolic Phenotypes for High-Confidence Detection of Functional Links,"Adam J. Carroll, Peng Zhang, Lynne Whitehead, Sarah Kaines, Guillaume Tcherkez & Murray R. Badger",2015,Frontiers in Bioengineering and Biotechnology,26284240,PMC4518198,10.3389/fbioe.2015.00106,https://www.frontiersin.org/articles/10.3389/fbioe.2015.00106/full,MEX42,MetaPhen
Comparative transcriptomics and metabolomics in a rhesus macaque drug administration study.,"Kevin J. Lee, Weiwei Yin, Dalia Arafat, Yan Tang, Karan Uppal, ViLinh Tran, Monica Cabrera-Mora, Stacey Lapp, Alberto Moreno, Esmeralda Meyer, Jeremy D. DeBarry, Suman Pakala, Vishal Nayak, Jessica C. Kissinger, Dean P. Jones, Mary Galinski, Mark P. Styczynski & Greg Gibson",2014,Frontiers in Cell and Developmental Biology,25453034,PMC4233942,10.3389/fcell.2014.00054,https://www.frontiersin.org/articles/10.3389/fcell.2014.00054/full,ST000592,Metabolomics Workbench
Phototrophic biofilm assembly in microbial-mat-derived unicyanobacterial consortia: model systems for the study of autotroph-heterotroph interactions,"Jessica K. Cole, Janine R. Hutchison, Ryan S. Renslow, Young-Mo Kim, William B. Chrisler, Heather E. Engelmann, Alice C. Dohnalkova, Dehong Hu, Thomas O. Metz, Jim K. Fredrickson & Stephen R. Lindemann",2014,Frontiers in Microbiology,24778628,PMC3985010,10.3389/fmicb.2014.00109,https://www.frontiersin.org/articles/10.3389/fmicb.2014.00109/full,MTBLS75,MetaboLights
Comparative proteome analysis reveals conserved and specific adaptation patterns of Staphylococcus aureus after internalization by different types of human non-professional phagocytic host cells,"Kristin Surmann, Stephan Michalik, Petra Hildebrandt, Philipp Gierok, Maren Depke, Lars Brinkmann, J_rg Bernhardt, Manuela G. Salazar, Zhi Sun, David Shteynberg, Ulrike Kusebauch, Robert L. Moritz, Bernd Wollscheid, Michael Lalk, Uwe V_lker & Frank Schmidt",2014,Frontiers in Microbiology,25136337,PMC4117987,10.3389/fmicb.2014.00392,https://www.frontiersin.org/articles/10.3389/fmicb.2014.00392/full,MTBLS102,MetaboLights
Diel metabolomics analysis of a hot spring chlorophototrophic microbial mat leads to new hypotheses of community member metabolisms,"Young-Mo Kim, Shane Nowack, Millie T. Olsen, Eric D. Becraft, Jason M. Wood, Vera Thiel, Isaac Klapper, Michael KŸhl, James K. Fredrickson, Donald A. Bryant, David M. Ward &Thomas O. Metz",2015,Frontiers in Microbiology,25941514,PMC4400912,10.3389/fmicb.2015.00209,https://www.frontiersin.org/articles/10.3389/fmicb.2015.00209/full,MTBLS187,MetaboLights
Two Poplar-Associated Bacterial Isolates Induce Additive Favorable Responses in a Constructed Plant-Microbiome System,"Collin M. Timm, Dale A. Pelletier, Sara S. Jawdy, Lee E. Gunter, Jeremiah A. Henning, Nancy Engle, Jayde Aufrecht, Emily Gee, Intawat Nookaew, Zamin Yang, Tse-Yuan Lu, Timothy J. Tschaplinski, Mitchel J. Doktycz, Gerald A. Tuskan & David J. Weston",2016,Frontiers in Plant Science,27200001,PMC4845692,10.3389/fpls.2016.00497,https://www.frontiersin.org/articles/10.3389/fpls.2016.00497/full,MTBLS332,MetaboLights
"An Integrated Biochemical, Proteomics, and Metabolomics Approach for Supporting Medicinal Value of Panax ginseng Fruits","So W. Kim, Ravi Gupta, Seo H. Lee, Cheol W. Min, Ganesh K. Agrawal, Randeep Rakwal, Jong B. Kim, Ick H. Jo, Soo-Yun Park, Jae K. Kim, Young-Chang Kim, Kyong H. Bang & Sun T. Kim",2016,Frontiers in Plant Science,27458475,PMC4930952,10.3389/fpls.2016.00994,https://www.frontiersin.org/articles/10.3389/fpls.2016.00994/full,MTBLS350,MetaboLights
Stress-Related Mitogen-Activated Protein Kinases Stimulate the Accumulation of Small Molecules and Proteins in Arabidopsis thaliana Root Exudates,"Nadine Strehmel, Wolfgang Hoehenwarter, Susann M_nchgesang, Petra Majovsky, Sylvia KrŸger, Dierk Scheel & Justin Lee",2017,Frontiers in Plant Science,28785276,PMC5520323,10.3389/fpls.2017.01292,https://www.frontiersin.org/articles/10.3389/fpls.2017.01292/full,MTBLS441,MetaboLights
Multiplatform serum metabolic phenotyping combined with pathway mapping to identify biochemical differences in smokers,"Manuja R Kaluarachchi, Claire L Boulang_, Isabel Garcia-Perez, John C Lindon & Emmanuel F Minet",2016,Future Science,27635669,NA,10.4155/bio-2016-0108,https://www.future-science.com/doi/abs/10.4155/bio-2016-0108,MTBLS364,MetaboLights
